Data,Hora,Data Valor,Produto,ISIN,Descrição,T.,Mudança,,Saldo,,ID da Ordem
20-12-2023,17:24,20-12-2023,FLOW TRADERS LTD,BMG3602E1084,"Venda 19 Flow Traders Ltd@18,04 EUR (BMG3602E1084)",,EUR,342.76,EUR,-7374.88,fd7c7cb3-3c7a-49b9-ba77-e5a4be9128c9
15-12-2023,11:30,15-12-2023,TENCENT HOLDINGS LTD,KYG875721634,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-3.90,EUR,-7717.64,f7a5f69e-b105-40eb-b43a-2cac90028039
15-12-2023,11:30,15-12-2023,TENCENT HOLDINGS LTD,KYG875721634,"Compra 80 Tencent Holdings Ltd@36,89 EUR (KYG875721634)",,EUR,-2951.20,EUR,-7713.74,f7a5f69e-b105-40eb-b43a-2cac90028039
15-12-2023,11:28,15-12-2023,TENCENT HOLDINGS LTD,KYG875721634,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-3.90,EUR,-4762.54,dd66765d-8342-46b9-b96c-a1eaf1164c4f
15-12-2023,11:28,15-12-2023,TENCENT HOLDINGS LTD,KYG875721634,"Venda 80 Tencent Holdings Ltd@36,66 EUR (KYG875721634)",,EUR,2932.80,EUR,-4758.64,dd66765d-8342-46b9-b96c-a1eaf1164c4f
04-12-2023,17:13,30-11-2023,,,Juros,,EUR,-34.95,EUR,-7691.44,
16-11-2023,18:02,16-11-2023,ADR ON ALIBABA GROUP HOLDING,US01609W1027,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-3.90,EUR,-7656.49,e8b2d772-f258-486d-a75b-fb4aaf335e91
16-11-2023,18:02,16-11-2023,ADR ON ALIBABA GROUP HOLDING,US01609W1027,"Compra 15 ADR on Alibaba Group Holding@72,9 EUR (US01609W1027)",,EUR,-1093.50,EUR,-7652.59,e8b2d772-f258-486d-a75b-fb4aaf335e91
03-11-2023,15:48,31-10-2023,,,Juros,,EUR,-32.15,EUR,-6559.09,
04-10-2023,07:32,03-10-2023,COLRUYT,BE0974256852,Dividendo,,EUR,480.00,EUR,-6526.94,
04-10-2023,07:32,03-10-2023,COLRUYT,BE0974256852,Imposto sobre dividendo,,EUR,-144.00,EUR,-7006.94,
03-10-2023,11:05,30-09-2023,,,Juros,,EUR,-42.43,EUR,-6862.94,
01-10-2023,14:21,30-09-2023,,,Flatex Interest Income,,EUR,0.00,EUR,-6820.51,
05-09-2023,16:50,05-09-2023,,,Levantamentos da sua Conta Caixa na flatexDEGIRO Bank AG: 2 000 EUR,,,,EUR,-6820.51,
05-09-2023,16:50,05-09-2023,FLATEX EURO BANKACCOUNT,NLFLATEXACNT,Degiro Cash Sweep Transfer,,EUR,2000.00,EUR,-4820.51,
05-09-2023,11:11,05-09-2023,,,flatex Deposit,,EUR,2000.00,EUR,-6820.51,
04-09-2023,11:50,04-09-2023,VANGUARD FTSE ALL-WORLD UCITS ETF,IE00BK5BQT80,Comissões de transação DEGIRO e/ou taxas de terceiros,,EUR,-1.00,EUR,-8820.51,30f23a9e-1dfe-4f44-96d1-5f3ac41b83b2
