Data,Hora,Produto,ISIN,Bolsa de,Bolsa,Quantidade,Preços,,Valor local,,Valor,,Taxa de Câmbio,Custos de transação,,Total,,ID da Ordem
13-06-2022,12:50,COL P25.00 15JUL22,BEEN07090374,LFF,XBRD,3,0.5300,EUR,-159.00,EUR,-159.00,EUR,,-2.25,EUR,-161.25,EUR,c2fc5cf3-78da-4ef9-b5bd-7a75bb2ac553
13-06-2022,12:47,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,8,91.5400,EUR,-732.32,EUR,-732.32,EUR,,,EUR,-732.32,EUR,366cdfe0-5695-40f0-a053-39b405a25b13
25-05-2022,09:52,COL P25.00 17JUN22,BEEN07094111,LFF,XBRD,3,0.3500,EUR,-105.00,EUR,-105.00,EUR,,-2.25,EUR,-107.25,EUR,ff8bd837-0ce9-4c14-b8dc-8ced3b34d1e4
18-05-2022,16:23,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,7,95.2900,EUR,-667.03,EUR,-667.03,EUR,,,EUR,-667.03,EUR,17301523-f51b-4644-9137-99f62c3ca133
18-05-2022,16:19,COL P35.00 17JUN22,BEEN02019725,LFF,XBRD,-1,3.7500,EUR,375.00,EUR,375.00,EUR,,-0.75,EUR,374.25,EUR,5c0c4d7c-4b47-4877-9c87-79a8bc2f0d1f
09-05-2022,17:27,COL P35.00 17JUN22,BEEN02019725,LFF,XBRD,-1,1.7900,EUR,179.00,EUR,179.00,EUR,,-0.75,EUR,178.25,EUR,44e5de17-7762-4416-87f5-0eb244327930
09-05-2022,17:23,EUN C11.00 16SEP22,BEEN05102064,LFF,XBRD,1,0.7300,EUR,-73.00,EUR,-73.00,EUR,,-0.75,EUR,-73.75,EUR,09cfe70a-74e2-48c3-b039-fd6cbf277275
09-05-2022,16:32,EUN C11.00 17JUN22,BEEN05102049,LFF,XBRD,3,0.3500,EUR,-105.00,EUR,-105.00,EUR,,-2.25,EUR,-107.25,EUR,ba484fac-0d13-43eb-b3cf-660fa7de8d7f
06-04-2022,16:34,EUN C11.00 16SEP22,BEEN05102064,LFF,XBRD,-1,0.9800,EUR,98.00,EUR,98.00,EUR,,-0.75,EUR,97.25,EUR,2d8e82b7-d672-459f-953d-b01372314076
06-04-2022,12:17,EUN C11.00 17JUN22,BEEN05102049,LFF,XBRD,-2,0.6400,EUR,128.00,EUR,128.00,EUR,,-1.50,EUR,126.50,EUR,65a26f60-0efd-4624-b032-68d30b6b7f1b
06-04-2022,10:11,VANGUARD FTSE ALL-WORLD UCITS ETF - (USD) ACCUMULATING,IE00BK5BQT80,XET,XETA,5,102.2200,EUR,-511.10,EUR,-511.10,EUR,,,EUR,-511.10,EUR,c87a55a9-d92d-42d5-a168-2cbde56757e6
05-04-2022,15:59,EUN C11.00 17JUN22,BEEN05102049,LFF,XBRD,-1,0.6300,EUR,63.00,EUR,63.00,EUR,,-0.75,EUR,62.25,EUR,204f4d32-8f0f-4a8c-9c65-13aed51e4867
28-03-2022,11:51,JD.COM. INC. A,KYG8208B1014,FRA,FRAB,-2,25.8000,EUR,51.60,EUR,51.60,EUR,,-4.40,EUR,47.20,EUR,e47ecea8-1f23-4153-907d-fbd8e6666fd8
